ingredientID,ingredientName,measurementMethod
1,"chicken","g"
2,"beef","g"
3,"pork","g"
4,"bacon","g"
5,"sausage","g"
6,"salmon","g"
7,"tuna","g"
8,"shrimp","g"
9,"lamb","g"
10,"ham","g"
11,"turkey","g"
12,"egg","each"
13,"milk","ml"
14,"cream","ml"
15,"cheese","g"
16,"butter","g"
17,"olive oil","ml"
18,"coconut oil","ml"
19,"canola oil","ml"
20,"avocado oil","ml"
21,"garlic","g"
22,"onion","g"
23,"potato","g"
24,"sweet potato","g"
25,"pumpkin","g"
26,"carrot","g"
27,"broccoli","g"
28,"asparagus","g"
29,"spinach","g"
30,"kale","g"
31,"lettuce","g"
32,"cucumber","g"
33,"tomato","g"
34,"zucchini","g"
35,"pepper","g"
36,"chili","g"
37,"lemon","ml"
38,"lime","ml"
39,"orange","ml"
40,"apple","each"
41,"pear","each"
42,"banana","each"
43,"strawberry","g"
44,"raspberry","g"
45,"blueberry","g"
46,"blackberry","g"
47,"mango","each"
48,"pineapple","each"
49,"watermelon","g"
50,"honey","g"
51,"beetroot","g"
52,"cabbage","g"
53,"cauliflower","g"
54,"celery","g"
55,"chard","g"
56,"corn","g"
57,"eggplant","g"
58,"fennel","g"
59,"green beans","g"
60,"mushroom","g"
61,"okra","g"
62,"paprika","g"
63,"parsley","g"
64,"rosemary","g"
65,"sage","g"
66,"thyme","g"
67,"basil","g"
68,"cilantro","g"
69,"cinnamon","g"
70,"ginger","g"
71,"nutmeg","g"
72,"oregano","g"
73,"paprika","g"
74,"red pepper flakes","g"
75,"salt","g"
76,"black pepper","g"
77,"white pepper","g"
78,"cayenne pepper","g"
79,"turmeric","g"
80,"allspice","g"
81,"cardamom","g"
82,"cloves","g"
83,"coriander","g"
84,"cumin","g"
85,"mustard seeds","g"
86,"chickpeas","g"
87,"lentils","g"
88,"quinoa","g"
89,"rice","g"
90,"bulgur","g"
91,"pearl barley","g"
92,"wheat berries","g"
93,"cashews","g"
94,"peanuts","g"
95,"pistachios","g"
96,"walnuts","g"
97,"almonds","g"
98,"pecans","g"
99,"hazelnuts","g"
100,"chia seeds","g"
101,"flax seeds","g"
102,"sesame seeds","g"
103,"poppy seeds","g"
104,"sunflower seeds","g"
105,"pumpkin seeds","g"
106,"yogurt","g"
107,"sour cream","g"
108,"cottage cheese","g"
109,"tofu","g"
110,"tempeh","g"
111,"seitan","g"
112,"soy milk","ml"
113,"almond milk","ml"
114,"cashew milk","ml"
115,"oat milk","ml"
116,"coconut milk","ml"
117,"chicken broth","ml"
118,"beef broth","ml"
119,"vegetable broth","ml"
120,"fish sauce","ml"
121,"soy sauce","ml"
122,"hoisin sauce","ml"
123,"oyster sauce","ml"
124,"maple syrup","ml"
125,"molasses","ml"
126,"agave nectar","ml"
127,"vinegar","ml"
128,"red wine vinegar","ml"
129,"white wine vinegar","ml"
130,"balsamic vinegar","ml"